t,x,y,yaw
0.000,-0.231,2.944,0.0
0.096,-0.229,2.944,0.0
0.199,-0.225,2.944,0.0
0.300,-0.221,2.944,0.0
0.402,-0.215,2.944,0.0
0.504,-0.209,2.944,0.0
0.601,-0.202,2.944,0.0
0.703,-0.195,2.943,0.0
0.805,-0.187,2.943,0.0
0.897,-0.178,2.943,0.0
0.999,-0.17,2.943,0.0
1.106,-0.161,2.943,0.0
1.198,-0.152,2.942,0.0
1.300,-0.143,2.942,-0.001
1.403,-0.134,2.942,-0.001
1.504,-0.124,2.942,-0.001
1.601,-0.115,2.942,-0.001
1.703,-0.106,2.941,-0.001
1.805,-0.096,2.941,-0.001
1.907,-0.086,2.941,-0.001
1.999,-0.077,2.942,0.0
2.106,-0.067,2.942,0.0
2.208,-0.057,2.941,0.0
2.299,-0.048,2.941,0.0
2.401,-0.038,2.941,0.0
2.503,-0.028,2.941,0.0
2.599,-0.009,2.938,0.0
2.702,0.0,2.938,0.0
2.803,0.01,2.938,0.0
2.905,0.02,2.937,0.0
3.007,0.029,2.937,0.0
3.104,0.039,2.938,0.0
3.206,0.049,2.938,0.0
3.298,0.058,2.938,0.0
3.400,0.068,2.937,0.0
3.502,0.078,2.937,0.0
3.599,0.088,2.937,0.0
3.701,0.097,2.938,0.0
3.803,0.107,2.938,0.0
3.905,0.117,2.937,0.0
4.007,0.126,2.937,0.0
4.104,0.136,2.937,0.0
4.206,0.146,2.937,0.0
4.308,0.155,2.937,0.0
4.399,0.165,2.937,0.0
4.501,0.175,2.937,0.0
4.608,0.185,2.937,0.0
4.700,0.193,2.943,0.0
4.802,0.203,2.943,0.0
4.904,0.213,2.943,0.0
5.006,0.222,2.944,0.0
5.102,0.232,2.943,0.0
5.205,0.242,2.943,0.0
5.307,0.252,2.943,0.0
5.398,0.261,2.943,0.0
5.501,0.271,2.943,0.0
5.608,0.281,2.942,0.0
5.700,0.29,2.942,0.0
5.802,0.3,2.942,0.0
5.904,0.31,2.942,0.0
6.006,0.319,2.942,0.0
6.103,0.329,2.942,0.0
6.205,0.339,2.941,0.0
6.307,0.349,2.941,0.0
6.409,0.358,2.941,0.0
6.501,0.368,2.942,0.0
6.608,0.378,2.942,0.0
6.700,0.388,2.942,0.0
6.801,0.393,2.942,-0.001
6.904,0.403,2.942,-0.001
7.005,0.413,2.942,-0.001
7.101,0.423,2.942,-0.001
7.204,0.432,2.942,-0.001
7.305,0.442,2.941,-0.001
7.408,0.452,2.941,-0.001
7.499,0.462,2.941,-0.001
7.606,0.471,2.941,-0.001
7.708,0.481,2.94,-0.001
7.801,0.491,2.94,-0.001
7.902,0.501,2.94,-0.001
8.005,0.51,2.94,0.0
8.100,0.52,2.94,0.0
8.203,0.53,2.939,0.0
8.305,0.54,2.939,0.0
8.407,0.549,2.939,0.0
8.509,0.559,2.939,0.0
8.605,0.569,2.938,0.0
8.708,0.579,2.939,0.0
8.810,0.589,2.939,0.0
8.902,0.592,2.933,0.0
9.004,0.602,2.933,0.0
9.110,0.612,2.933,0.0
9.202,0.622,2.933,0.0
9.304,0.631,2.932,0.0
9.407,0.641,2.932,0.0
9.509,0.651,2.933,0.0
9.616,0.663,2.933,0.0
9.709,0.67,2.932,0.0
9.811,0.68,2.932,0.0
9.903,0.69,2.932,0.0
10.005,0.7,2.932,0.0
10.107,0.709,2.932,0.0
10.205,0.719,2.932,0.0
10.307,0.731,2.932,0.0
10.409,0.739,2.932,0.0
10.511,0.749,2.932,0.0
10.613,0.758,2.931,0.0
10.709,0.771,2.931,0.0
10.812,0.778,2.931,0.0
10.903,0.788,2.931,0.0
11.005,0.799,2.93,0.0
11.107,0.809,2.93,0.0
11.204,0.819,2.93,0.0
11.306,0.829,2.93,0.0
11.408,0.839,2.93,0.0
11.510,0.848,2.929,0.0
11.612,0.858,2.929,0.0
11.709,0.868,2.929,0.0
11.811,0.88,2.929,0.0
11.913,0.888,2.929,0.0
12.005,0.9,2.928,0.0
12.107,0.907,2.928,0.0
12.214,0.919,2.928,0.0
12.306,0.929,2.928,0.0
12.408,0.939,2.928,0.0
12.510,0.949,2.928,0.0
12.612,0.958,2.927,0.0
12.709,0.968,2.928,0.0
12.811,0.976,2.928,0.0
12.913,0.988,2.928,0.0
13.005,0.998,2.928,0.0
13.213,1.008,2.928,0.0
13.306,1.018,2.928,0.0
13.408,1.028,2.928,0.0
13.510,1.038,2.927,0.0
13.611,1.047,2.927,0.0
13.708,1.057,2.927,0.0
13.810,1.067,2.927,0.0
13.912,1.077,2.927,0.0
14.014,1.087,2.927,0.0
14.116,1.096,2.927,0.0
14.214,1.106,2.927,0.0
14.316,1.116,2.927,0.0
14.407,1.126,2.927,0.0
14.509,1.136,2.927,0.0
14.611,1.145,2.927,0.0
14.707,1.155,2.926,0.0
14.809,1.165,2.926,0.0
14.911,1.175,2.926,0.0
15.013,1.185,2.927,0.0
15.115,1.194,2.927,0.0
15.212,1.213,2.928,0.0
15.314,1.223,2.928,0.0
15.415,1.233,2.928,0.0
15.518,1.243,2.928,0.0
15.609,1.253,2.928,0.0
15.716,1.262,2.928,0.0
15.818,1.272,2.928,0.0
15.910,1.282,2.928,0.0
16.012,1.292,2.928,0.0
16.113,1.302,2.928,0.0
16.210,1.312,2.928,0.0
16.313,1.321,2.927,0.0
16.415,1.331,2.927,0.0
16.517,1.341,2.927,0.0
16.619,1.351,2.927,0.0
16.715,1.361,2.927,0.0
16.817,1.37,2.927,0.0
16.919,1.38,2.927,0.0
17.011,1.39,2.927,0.0
17.113,1.4,2.927,0.0
17.209,1.41,2.927,0.0
17.312,1.414,2.925,0.0
17.413,1.424,2.925,-0.001
17.515,1.434,2.925,-0.001
17.618,1.444,2.924,-0.001
17.714,1.454,2.924,-0.001
17.817,1.464,2.924,-0.001
17.918,1.473,2.924,-0.001
18.010,1.483,2.923,-0.001
18.112,1.493,2.923,-0.001
18.218,1.503,2.923,-0.001
18.310,1.513,2.923,-0.001
18.413,1.522,2.923,-0.001
18.515,1.532,2.922,-0.001
18.616,1.542,2.922,-0.001
18.713,1.552,2.922,-0.001
18.815,1.562,2.922,-0.001
18.917,1.571,2.921,0.0
19.019,1.581,2.922,0.0
19.111,1.591,2.922,0.0
19.217,1.6,2.922,0.0
19.320,1.61,2.922,0.0
19.412,1.62,2.922,0.0
19.514,1.63,2.922,0.0
19.615,1.639,2.921,0.0
19.711,1.649,2.921,0.0
19.814,1.658,2.921,0.0
19.916,1.667,2.921,0.0
20.018,1.676,2.921,0.0
20.120,1.684,2.921,0.0
20.216,1.692,2.92,0.0
20.319,1.7,2.92,0.0
20.421,1.707,2.921,0.0
20.513,1.714,2.921,0.0
20.615,1.72,2.921,0.0
20.722,1.725,2.921,0.0
20.814,1.73,2.921,0.0
20.916,1.734,2.921,0.0
21.018,1.738,2.921,0.0
21.121,1.742,2.921,0.0
21.213,1.744,2.92,0.0
21.320,1.746,2.92,0.0
21.421,1.748,2.92,0.0
21.513,1.75,2.92,0.0
21.615,1.752,2.92,0.0
21.721,1.754,2.92,0.0
21.814,1.756,2.92,0.0
21.916,1.758,2.92,0.0
22.018,1.76,2.92,0.0
22.120,1.762,2.92,0.0
22.222,1.764,2.92,0.0
22.318,1.766,2.92,0.0
